"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N358NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N358PW",2017,"Fixed wing multi engine","BOEING","737-800",2,175,0,"Turbo-fan"
"N359DN",2018,"Fixed wing multi engine","AIRBUS SAS","A321-213",2,199,0,"Turbo-fan"
"N359FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-fan"
"N359NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N359NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N359PX",2017,"Fixed wing multi engine","BOEING","737-800",2,175,0,"Turbo-fan"
"N360DN",2018,"Fixed wing multi engine","AIRBUS SAS","A321-213",2,199,0,"Turbo-fan"
"N360FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-fan"
"N360NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N360NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N361DN",2018,"Fixed wing multi engine","AIRBUS SAS","A321-213",2,199,0,"Turbo-fan"
"N361FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-fan"
"N361NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N361NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N36207",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N36247",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N36272",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N362DN",2018,"Fixed wing multi engine","AIRBUS SAS","A321-213",2,199,0,"Turbo-fan"
"N362FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-fan"
"N362NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N362NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N363DN",2018,"Fixed wing multi engine","AIRBUS SAS","A321-213",2,199,0,"Turbo-fan"
"N363FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-fan"
"N363NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N363NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N36444",2010,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N36447",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N36469",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N36472",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N36476",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N364DX",2018,"Fixed wing multi engine","AIRBUS SAS","A321-213",2,199,0,"Turbo-fan"
"N364FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-fan"
"N364NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N364NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N365NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N365NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N366DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N366NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N366NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N367CA",2002,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,0,"Turbo-fan"
"N367DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N367NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N368CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,0,"Turbo-fan"
"N368DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N368NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N368NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N369NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N369NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N370DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N370NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N370NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N371CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,0,"Turbo-fan"
"N371DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N371DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N371NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N371NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N37252",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37253",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37255",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37263",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37267",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37273",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37274",2002,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37277",2002,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37287",2004,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37290",2004,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37293",2005,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37298",2005,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N372DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N372DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N372NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N3730B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3731T",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3732J",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3733Z",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3734B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3735D",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3736C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3737C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3738B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3739P",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N373DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N373DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N373NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N37408",2001,"Fixed wing multi engine","BOEING","737-924",2,191,0,"Turbo-fan"
"N37409",2001,"Fixed wing multi engine","BOEING","737-924",2,191,0,"Turbo-fan"
"N3740C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N37413",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37419",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N3741S",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N37420",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37422",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37427",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N3742C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N37434",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37437",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N3743H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3744F",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N37456",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N3745B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N37462",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37464",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37465",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37466",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37468",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N3746H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N37470",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37471",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N37474",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N3747D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3748Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3749D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N374DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N374DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N374NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N3750D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3751B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3752",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3753",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3754A",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3755D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3756",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3757D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3758Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3759",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N375DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N375DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N375NC",2002,"Fixed wing multi engine","AIRBUS","A320-212",2,182,0,"Turbo-fan"
"N3760C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3761R",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3762Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3763D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3764D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3765",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3766",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3767",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3768",2002,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3769L",2002,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N376DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N376DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N376NW",2002,"Fixed wing multi engine","AIRBUS","A320-212",2,182,0,"Turbo-fan"
"N37700",2002,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3771K",2002,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3772H",2010,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3773D",2010,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N377DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N377DE",2014,"Fixed wing multi engine","BOEING","737-8EH",2,189,0,"Turbo-fan"
"N377DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N377NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,0,"Turbo-fan"
"N378DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N378DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N378NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,0,"Turbo-fan"
"N379DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N379DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N380DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N380DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N381DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N38257",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N38268",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N382DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N382DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N383DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N383DZ",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N38403",2001,"Fixed wing multi engine","BOEING","737-924",2,191,0,"Turbo-fan"
"N38417",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38424",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38443",2010,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38446",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38451",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38454",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38458",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38459",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38467",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38473",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N38479",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N384AA",NA,"Fixed wing multi engine","ANDURIL INDUSTRIES INC","ROADRUNNER",2,NA,0,"Turbo-jet"
"N384DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N384DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N385DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N385DZ",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N386DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N38727",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N387DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N387DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N388DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N389DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N390CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,0,"Turbo-fan"
"N390DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N390DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N391CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,0,"Turbo-fan"
"N391DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N39297",2005,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N392DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N392DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N393DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N393DN",2019,"Fixed wing multi engine","AIRBUS SAS","A321-211",2,222,0,"Turbo-fan"
"N39415",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39416",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39418",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39423",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39450",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39461",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39463",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N39475",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,0,"Turbo-fan"
"N394DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N394DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N395DN",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N395DZ",2019,"Fixed wing multi engine","AIRBUS SAS","A321-211",2,222,0,"Turbo-fan"
"N396DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N39728",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N397DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N397DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N398CA",2003,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,0,"Turbo-fan"
"N398DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N399DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N400AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N401AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N401UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N401YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N402AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N402AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N402UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N402YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N4032T",2015,"Fixed wing multi engine","AIRBUS","A319-115",2,147,0,"Turbo-fan"
"N403AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N403AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N403YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N404AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N404UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N404YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N405YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N406AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N406UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N406YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N407AN",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N407AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N407YX",2013,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N408AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N408YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N409AA",2019,"Fixed wing multi engine","AIRBUS","A321-253NX",2,222,0,"Turbo-fan"
"N409AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N409YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N410WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N410YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N411YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N412YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N413AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N413YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N414YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N415YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N416YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N417YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N418YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N419AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N419YX",2013,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N420YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N421YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N422WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N422YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N423AS",2013,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N423YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N424WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N424YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N425LV",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N425YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N426UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N426WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N426YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N427UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N427WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N427YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N428AS",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N428UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N428WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N428YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N429UA",1995,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
"N429WN",2002,"Fixed wing multi engine","BOEING","737-7H4",2,143,0,"Turbo-fan"
"N429YX",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N430SW",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,0,"Turbo-fan"
"N430UA",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,0,"Turbo-fan"
